,Quantity,Price Per Unit,Total Spent,is_imputed,year,month,day,weekday,is_weekend,Total Spent Log,Item_Coffee,Item_Cookie,Item_Juice,Item_Salad,Item_Sandwich,Item_Smoothie,Item_Tea,Item_Other,Payment Method_Credit Card,Payment Method_Digital Wallet,Payment Method_Not Recorded,Location_Takeaway,Location_Not Recorded,season_Spring,season_Summer,season_Winter
15,2,3.0,6.0,False,2023,2,24,4,0,1.9459101490553132,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
16,5,3.0,15.0,False,2023,3,25,5,1,2.772588722239781,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
17,4,3.0,12.0,False,2023,1,15,6,1,2.5649493574615367,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True
18,5,4.0,20.0,False,2023,4,4,1,0,3.044522437723423,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
19,4,4.0,16.0,False,2023,3,30,3,0,2.833213344056216,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False
20,3,4.0,12.0,False,2023,12,1,4,0,2.5649493574615367,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True
21,2,4.0,8.0,False,2023,9,18,0,0,2.1972245773362196,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False
22,5,4.0,20.0,False,2023,6,3,5,1,3.044522437723423,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
23,3,4.0,12.0,False,2023,12,13,2,0,2.5649493574615367,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True
24,5,1.0,5.0,False,2023,4,20,3,0,1.791759469228055,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False
25,4,3.0,12.0,False,2023,4,10,0,0,2.5649493574615367,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False
26,5,4.0,20.0,False,2023,3,11,5,1,3.044522437723423,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False,False
27,5,2.0,10.0,False,2023,6,2,4,0,2.3978952727983707,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False
28,2,1.0,2.0,False,2023,11,6,0,0,1.0986122886681096,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False
29,4,4.0,16.0,False,2023,8,15,1,0,2.833213344056216,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
30,2,4.0,8.0,False,2023,10,9,0,0,2.1972245773362196,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False
31,1,4.0,4.0,False,2023,5,28,6,1,1.6094379124341003,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False
32,4,3.0,12.0,False,2023,7,17,0,0,2.5649493574615367,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
33,2,5.0,10.0,False,2023,4,29,5,1,2.3978952727983707,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
34,4,4.0,16.0,False,2023,6,8,3,0,2.833213344056216,False,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False
35,4,2.0,8.0,False,2023,6,29,3,0,2.1972245773362196,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False
36,3,4.0,12.0,False,2023,4,17,0,0,2.5649493574615367,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
37,4,4.0,16.0,False,2023,12,22,4,0,2.833213344056216,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,True
38,2,1.5,3.0,False,2023,1,10,1,0,1.3862943611198906,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,True
39,4,3.0,12.0,False,2023,10,2,0,0,2.5649493574615367,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False
40,2,1.0,2.0,False,2023,2,23,3,0,1.0986122886681096,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True
41,3,5.0,15.0,False,2023,3,22,2,0,2.772588722239781,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False
42,4,3.0,12.0,False,2023,11,3,4,0,2.5649493574615367,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
43,5,3.0,15.0,False,2023,3,2,3,0,2.772588722239781,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,False
44,5,3.0,15.0,False,2023,6,26,0,0,2.772588722239781,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False
45,3,3.0,9.0,False,2023,5,2,1,0,2.302585092994046,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False
46,5,3.0,15.0,False,2023,9,5,1,0,2.772588722239781,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
47,3,4.0,12.0,False,2023,11,25,5,1,2.5649493574615367,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False
48,5,4.0,20.0,False,2023,12,5,1,0,3.044522437723423,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True
49,2,1.0,2.0,False,2023,3,19,6,1,1.0986122886681096,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False
50,5,3.0,15.0,False,2023,6,27,1,0,2.772588722239781,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False
51,1,3.0,3.0,False,2023,4,19,2,0,1.3862943611198906,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
52,4,4.0,16.0,False,2023,11,3,4,0,2.833213344056216,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
53,5,3.0,15.0,False,2023,10,7,5,1,2.772588722239781,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
54,1,5.0,5.0,False,2023,9,30,5,1,1.791759469228055,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False
55,1,3.0,3.0,False,2023,10,9,0,0,1.3862943611198906,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
56,1,4.0,4.0,False,2023,5,27,5,1,1.6094379124341003,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False
57,3,5.0,15.0,False,2023,11,18,5,1,2.772588722239781,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False
58,4,4.0,16.0,False,2023,6,1,3,0,2.833213344056216,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False
59,3,4.0,12.0,True,2023,10,20,4,0,2.5649493574615367,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
60,2,3.0,6.0,False,2023,3,30,3,0,1.9459101490553132,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False
61,1,1.0,1.0,False,2023,10,3,1,0,0.6931471805599453,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False
62,2,5.0,10.0,False,2023,10,27,4,0,2.3978952727983707,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
63,5,3.0,15.0,False,2023,4,6,3,0,2.772588722239781,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False
64,2,1.5,3.0,False,2023,3,22,2,0,1.3862943611198906,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
65,2,3.0,6.0,False,2023,1,31,1,0,1.9459101490553132,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
66,1,1.0,1.0,False,2023,12,8,4,0,0.6931471805599453,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
67,2,5.0,10.0,False,2023,6,19,0,0,2.3978952727983707,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False
68,2,4.0,8.0,False,2023,12,14,3,0,2.1972245773362196,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True
69,1,2.0,2.0,False,2023,7,16,6,1,1.0986122886681096,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
70,4,4.0,16.0,False,2023,2,22,2,0,2.833213344056216,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True
71,5,1.5,7.5,False,2023,6,2,4,0,2.1400661634962708,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False
72,4,3.0,12.0,False,2023,6,15,3,0,2.5649493574615367,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
73,2,2.0,4.0,False,2023,12,9,5,1,1.6094379124341003,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
74,2,4.0,8.0,False,2023,4,18,1,0,2.1972245773362196,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False
75,2,1.0,2.0,False,2023,11,7,1,0,1.0986122886681096,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False
76,3,3.0,9.0,False,2023,10,28,5,1,2.302585092994046,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
77,4,3.0,12.0,False,2023,12,22,4,0,2.5649493574615367,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True
78,3,1.5,4.5,False,2023,10,29,6,1,1.7047480922384253,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
79,5,3.0,15.0,False,2023,4,30,6,1,2.772588722239781,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False
80,5,1.0,5.0,False,2023,4,2,6,1,1.791759469228055,False,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False
81,1,5.0,5.0,False,2023,5,24,2,0,1.791759469228055,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False
82,5,1.0,5.0,False,2023,3,12,6,1,1.791759469228055,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False
83,2,1.5,3.0,False,2023,8,16,2,0,1.3862943611198906,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False
84,5,3.0,15.0,False,2023,10,28,5,1,2.772588722239781,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
85,5,3.0,15.0,False,2023,9,10,6,1,2.772588722239781,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False
86,3,2.0,6.0,False,2023,3,7,1,0,1.9459101490553132,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False
87,3,3.0,9.0,False,2023,8,7,0,0,2.302585092994046,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False
88,3,5.0,15.0,False,2023,8,20,6,1,2.772588722239781,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False
89,4,2.0,8.0,False,2023,4,15,5,1,2.1972245773362196,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
90,4,3.0,12.0,False,2023,5,27,5,1,2.5649493574615367,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False
91,4,2.0,8.0,False,2023,7,25,1,0,2.1972245773362196,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
92,3,5.0,15.0,False,2023,10,28,5,1,2.772588722239781,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False
93,2,3.0,6.0,False,2023,12,15,4,0,1.9459101490553132,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True
94,4,5.0,20.0,False,2023,2,25,5,1,3.044522437723423,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
95,3,1.0,3.0,False,2023,4,3,0,0,1.3862943611198906,False,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False
96,3,1.0,3.0,False,2023,10,8,6,1,1.3862943611198906,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False
97,5,1.0,5.0,False,2023,12,28,3,0,1.791759469228055,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True
98,4,1.5,6.0,False,2023,8,30,2,0,1.9459101490553132,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False
99,1,4.0,4.0,False,2023,2,3,4,0,1.6094379124341003,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True
100,2,4.0,8.0,False,2023,9,12,1,0,2.1972245773362196,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False
101,5,4.0,20.0,False,2023,4,27,3,0,3.044522437723423,False,False,False,False,False,True,False,False,False,False,True,True,False,True,False,False
102,3,3.0,9.0,False,2023,5,4,3,0,2.302585092994046,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False,False
103,5,2.0,10.0,False,2023,2,21,1,0,2.3978952727983707,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True
104,3,3.0,9.0,False,2023,3,16,3,0,2.302585092994046,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False
105,3,3.0,9.0,False,2023,1,10,1,0,2.302585092994046,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True
106,5,3.0,15.0,False,2023,2,6,0,0,2.772588722239781,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True
107,2,5.0,10.0,False,2023,2,24,4,0,2.3978952727983707,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True
108,2,3.0,6.0,False,2023,6,2,4,0,1.9459101490553132,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False
109,3,2.0,6.0,False,2023,3,29,2,0,1.9459101490553132,True,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False
110,2,3.0,6.0,False,2023,6,18,6,1,1.9459101490553132,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False
111,5,2.0,10.0,False,2023,9,23,5,1,2.3978952727983707,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
112,3,3.0,9.0,False,2023,1,14,5,1,2.302585092994046,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True
113,4,1.5,6.0,False,2023,9,14,3,0,1.9459101490553132,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
114,5,3.0,15.0,False,2023,9,16,5,1,2.772588722239781,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False
115,4,4.0,16.0,False,2023,12,28,3,0,2.833213344056216,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True
116,2,3.0,6.0,False,2023,2,6,0,0,1.9459101490553132,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True
117,2,4.0,8.0,False,2023,3,11,5,1,2.1972245773362196,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
118,1,1.5,1.5,False,2023,4,8,5,1,0.9162907318741551,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False
119,1,1.5,1.5,False,2023,12,19,1,0,0.9162907318741551,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True
120,4,3.0,12.0,False,2023,7,14,4,0,2.5649493574615367,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False
121,5,3.0,15.0,False,2023,4,18,1,0,2.772588722239781,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
122,2,3.0,6.0,False,2023,6,8,3,0,1.9459101490553132,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False
123,5,1.5,7.5,False,2023,12,12,1,0,2.1400661634962708,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True
124,5,2.0,10.0,False,2023,1,5,3,0,2.3978952727983707,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
125,3,5.0,15.0,False,2023,6,10,5,1,2.772588722239781,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False
126,5,4.0,20.0,False,2023,1,23,0,0,3.044522437723423,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True
127,1,1.5,1.5,False,2023,2,20,0,0,0.9162907318741551,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True
128,3,3.0,9.0,False,2023,7,19,2,0,2.302585092994046,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False
129,5,3.0,15.0,False,2023,12,6,2,0,2.772588722239781,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
130,1,3.0,3.0,False,2023,5,31,2,0,1.3862943611198906,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False
131,2,5.0,10.0,False,2023,8,11,4,0,2.3978952727983707,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False
132,5,1.5,7.5,False,2023,9,3,6,1,2.1400661634962708,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
133,2,3.0,6.0,False,2023,7,11,1,0,1.9459101490553132,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
134,4,5.0,20.0,False,2023,6,6,1,0,3.044522437723423,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
135,4,3.0,12.0,False,2023,1,18,2,0,2.5649493574615367,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True
136,2,3.0,6.0,False,2023,3,23,3,0,1.9459101490553132,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
137,4,4.0,16.0,False,2023,1,4,2,0,2.833213344056216,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,True
138,1,2.0,2.0,False,2023,6,23,4,0,1.0986122886681096,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False
139,4,3.0,12.0,False,2023,11,25,5,1,2.5649493574615367,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
140,5,2.0,10.0,False,2023,8,3,3,0,2.3978952727983707,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
141,2,4.0,8.0,False,2023,7,12,2,0,2.1972245773362196,False,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False
142,3,2.0,6.0,False,2023,4,30,6,1,1.9459101490553132,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
143,2,2.0,4.0,False,2023,3,7,1,0,1.6094379124341003,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False
144,2,3.0,6.0,False,2023,6,27,1,0,1.9459101490553132,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False
145,1,3.0,3.0,False,2023,11,2,3,0,1.3862943611198906,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
146,1,1.0,1.0,False,2023,7,31,0,0,0.6931471805599453,False,True,False,False,False,False,False,False,False,False,True,True,False,False,True,False
147,2,1.5,3.0,False,2023,9,19,1,0,1.3862943611198906,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
148,5,3.0,15.0,False,2023,2,9,3,0,2.772588722239781,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True
149,5,4.0,20.0,False,2023,9,4,0,0,3.044522437723423,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
150,3,4.0,12.0,False,2023,5,21,6,1,2.5649493574615367,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False
151,3,3.0,9.0,False,2023,7,2,6,1,2.302585092994046,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
152,2,4.0,8.0,False,2023,7,10,0,0,2.1972245773362196,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False
153,4,1.0,4.0,False,2023,11,21,1,0,1.6094379124341003,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
154,4,4.0,16.0,False,2023,12,2,5,1,2.833213344056216,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True
155,2,1.5,3.0,False,2023,11,25,5,1,1.3862943611198906,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False
156,3,2.0,6.0,False,2023,4,17,0,0,1.9459101490553132,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
157,3,1.0,3.0,False,2023,3,13,0,0,1.3862943611198906,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False
158,3,3.0,9.0,False,2023,8,12,5,1,2.302585092994046,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
159,3,1.0,3.0,False,2023,2,16,3,0,1.3862943611198906,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True
160,4,4.0,16.0,False,2023,4,11,1,0,2.833213344056216,False,False,False,False,False,True,False,False,False,True,False,False,True,True,False,False
161,5,4.0,20.0,False,2023,3,13,0,0,3.044522437723423,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False
162,1,4.0,4.0,False,2023,11,7,1,0,1.6094379124341003,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False
163,3,4.0,12.0,False,2023,3,26,6,1,2.5649493574615367,False,False,False,False,False,True,False,False,False,False,True,True,False,True,False,False
164,2,3.0,6.0,False,2023,11,1,2,0,1.9459101490553132,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
165,1,5.0,5.0,False,2023,7,22,5,1,1.791759469228055,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False
166,1,4.0,4.0,False,2023,11,3,4,0,1.6094379124341003,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False
167,3,3.0,9.0,False,2023,9,14,3,0,2.302585092994046,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
168,2,4.0,8.0,False,2023,7,26,2,0,2.1972245773362196,False,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False
169,5,4.0,20.0,False,2023,2,28,1,0,3.044522437723423,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True
170,4,2.0,8.0,False,2023,1,27,4,0,2.1972245773362196,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
171,3,1.0,3.0,False,2023,12,6,2,0,1.3862943611198906,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True
172,5,3.0,15.0,False,2023,1,19,3,0,2.772588722239781,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
173,1,4.0,4.0,False,2023,2,20,0,0,1.6094379124341003,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True
174,4,3.0,12.0,False,2023,4,7,4,0,2.5649493574615367,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
175,2,4.0,8.0,False,2023,3,20,0,0,2.1972245773362196,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
176,3,1.0,3.0,False,2023,2,16,3,0,1.3862943611198906,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True
177,4,1.0,4.0,False,2023,12,27,2,0,1.6094379124341003,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True
178,2,1.5,3.0,False,2023,10,26,3,0,1.3862943611198906,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
179,5,3.0,15.0,False,2023,2,18,5,1,2.772588722239781,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,True
180,4,3.0,12.0,False,2023,4,11,1,0,2.5649493574615367,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,False
181,3,3.0,9.0,False,2023,5,15,0,0,2.302585092994046,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False
182,2,2.0,4.0,False,2023,12,10,6,1,1.6094379124341003,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True
183,2,3.0,6.0,False,2023,8,15,1,0,1.9459101490553132,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False
184,1,4.0,4.0,False,2023,4,21,4,0,1.6094379124341003,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
185,3,3.0,9.0,False,2023,10,28,5,1,2.302585092994046,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False
186,3,2.0,6.0,False,2023,2,4,5,1,1.9459101490553132,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
187,1,1.0,1.0,False,2023,4,15,5,1,0.6931471805599453,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False
188,1,4.0,4.0,False,2023,11,12,6,1,1.6094379124341003,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
189,5,1.5,7.5,False,2023,8,5,5,1,2.1400661634962708,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False
190,3,4.0,12.0,False,2023,5,10,2,0,2.5649493574615367,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False
191,5,4.0,20.0,False,2023,7,15,5,1,3.044522437723423,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
192,3,5.0,15.0,False,2023,11,15,2,0,2.772588722239781,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False
193,3,5.0,15.0,False,2023,1,11,2,0,2.772588722239781,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True
194,1,3.0,3.0,False,2023,10,1,6,1,1.3862943611198906,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False
195,4,5.0,20.0,False,2023,4,26,2,0,3.044522437723423,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
196,4,4.0,16.0,False,2023,8,25,4,0,2.833213344056216,False,False,False,False,False,False,False,True,True,False,False,False,True,False,True,False
197,1,5.0,5.0,False,2023,5,28,6,1,1.791759469228055,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
198,1,3.0,3.0,False,2023,4,30,6,1,1.3862943611198906,False,False,True,False,False,False,False,False,False,False,True,True,False,True,False,False
199,1,5.0,5.0,False,2023,1,14,5,1,1.791759469228055,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True
200,4,2.0,8.0,False,2023,3,1,2,0,2.1972245773362196,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
201,3,3.0,9.0,False,2023,11,13,0,0,2.302585092994046,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
202,2,1.0,2.0,False,2023,7,9,6,1,1.0986122886681096,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False
203,2,5.0,10.0,False,2023,5,13,5,1,2.3978952727983707,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False
204,1,5.0,5.0,False,2023,12,27,2,0,1.791759469228055,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True
205,5,1.0,5.0,False,2023,5,18,3,0,1.791759469228055,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,False
206,3,4.0,12.0,False,2023,4,4,1,0,2.5649493574615367,False,False,False,False,False,False,False,True,False,False,True,False,True,True,False,False
